Pudahuel,San Pablo,6
San Pablo,Lo Prado,5
Lo Prado,Blanqueado,4
Blanqueado,Gruta de Lourdes,4
Gruta de Lourdes,Quinta Normal,4
Quinta Normal,Cumming,4
Cumming,Santa Ana,4
Santa Ana,Plaza de Armas,5
Plaza de Armas,Bellas Artes,4
Bellas Artes,Baquedano,4
Baquedano,Parque Bustamante,4
Parque Bustamante,Santa Isabel,4
Santa Isabel,Irarrázaval,4
Irarrázaval,Ñuble,6
Ñuble,Rodrigo de Araya,4
Rodrigo de Araya,Carlos Valdovinos,4
Carlos Valdovinos,Camino Agrícola,4
Camino Agrícola,San Joaquín,5
San Joaquín,Pedrero,4
Pedrero,Mirador,4
Mirador,Bellavista de La Florida,4
Bellavista de La Florida,Vicente Valdés,5
Cerrillos,Lo Valledor,6
Lo Valledor,Pedro Aguirre Cerda,8
Pedro Aguirre Cerda,Franklin,8
Franklin,Bío Bío,4
Bío Bío,Ñuble,5
Ñuble,Estadio Nacional,5
Estadio Nacional,Ñuñoa,5
Ñuñoa,Inés de Suárez,8
Inés de Suárez,Los Leones,7
San Pablo,Neptuno,7
Neptuno,Pajaritos,4
Pajaritos,Las Rejas,7
Las Rejas,Ecuador,4
Ecuador,San Alberto Hurtado,3
San Alberto Hurtado,Universidad de Santiago,4
Universidad de Santiago,Estación Central,3
Estación Central,U.L.A.,4
U.L.A.,República,3
República,Los Héroes,4
Los Héroes,La Moneda,3
La Moneda,Universidad de Chile,4
Universidad de Chile,Santa Lucía,3
Santa Lucía,Universidad Católica,4
Universidad Católica,Baquedano,4
Baquedano,Salvador,3
Salvador,Manuel Montt,4
Manuel Montt,Pedro de Valdivia,3
Pedro de Valdivia,Los Leones,4
Los Leones,Tobalaba,4
Tobalaba,El Golf,4
El Golf,Alcántara,3
Alcántara,Escuela Militar,4
Escuela Militar,Manquehue,4
Manquehue,Hernando de Magallanes,5
Hernando de Magallanes,Los Dominicos,4
Los Libertadores,Cardenal Caro,3
Cardenal Caro,Vivaceta,2
Vivaceta,Conchalí,2
Conchalí,Plaza Chacabuco,1
Plaza Chacabuco,Hospitales,1
Hospitales,Puente Cal y Canto,2
Puente Cal y Canto,Plaza de Armas,2
Plaza de Armas,Universidad de Chile,3
Universidad de Chile,Parque Almagro,2
Parque Almagro,Matta,1
Matta,Irarrázaval,1
Irarrázaval,Monseñor Eyzaguirre,2
Monseñor Eyzaguirre,Ñuñoa,2
Ñuñoa,Chile-España,1
Chile-España,Villa Frei,2
Villa Frei,Plaza Egaña,2
Plaza Egaña,Fernando Castillo Velasco,2