PUDAHUEL,SAN PABLO,6
SAN PABLO,LO PRADO,5
LO PRADO,BLANQUEADO,4
BLANQUEADO,GRUTA DE LOURDES,4
GRUTA DE LOURDES,QUINTA NORMAL,4
QUINTA NORMAL,CUMMING,4
CUMMING,SANTA ANA,4
SANTA ANA,PLAZA DE ARMAS,5
PLAZA DE ARMAS,BELLAS ARTES,4
BELLAS ARTES,BAQUEDANO,4
BAQUEDANO,PARQUE BUSTAMANTE,4
PARQUE BUSTAMANTE,SANTA ISABEL,4
SANTA ISABEL,IRARRAZAVAL,4
IRARRAZAVAL,ÑUBLE,6
ÑUBLE,RODRIGO DE ARAYA,4
RODRIGO DE ARAYA,CARLOS VALDOVINOS,4
CARLOS VALDOVINOS,CAMINO AGRICOLA,4
CAMINO AGRICOLA,SAN JOAQUIN,5
SAN JOAQUIN,PEDRERO,4
PEDRERO,MIRADOR,4
MIRADOR,BELLAVISTA LA FLORIDA,4
BELLAVISTA LA FLORIDA,VICENTE VALDES,5
CERRILLOS,LO VALLEDOR,6
LO VALLEDOR,PEDRO AGUIRRE CERDA,8
PEDRO AGUIRRE CERDA,FRANKLIN,8
FRANKLIN,BEIO BEIO,4
BEIO BEIO,ÑUBLE,5
ÑUBLE,ESTADIO NACIONAL,5
ESTADIO NACIONAL,ÑUÑOA,5
ÑUÑOA,INES DE SUAREZ,8
INES DE SUAREZ,LOS LEONES,7
SAN PABLO,NEPTUNO,7
NEPTUNO,PAJARITOS,4
PAJARITOS,LAS REJAS,7
LAS REJAS,ECUADOR,4
ECUADOR,SAN ALBERTO HURTADO,3
SAN ALBERTO HURTADO,UNIVERSIDAD DE SANTIAGO,4
UNIVERSIDAD DE SANTIAGO,ESTACION CENTRAL,3
ESTACION CENTRAL,U.L.A.,4
U.L.A.,REPUBLICA,3
REPUBLICA,LOS HEROES,4
LOS HEROES,LA MONEDA,3
LA MONEDA,UNIVERSIDAD DE CHILE,4
UNIVERSIDAD DE CHILE,SANTA LUCEIA,3
SANTA LUCEIA,UNIVERSIDAD CATOLICA,4
UNIVERSIDAD CATOLICA,BAQUEDANO,4
BAQUEDANO,SALVADOR,3
SALVADOR,MANUEL MONTT,4
MANUEL MONTT,PEDRO DE VALDIVIA,3
PEDRO DE VALDIVIA,LOS LEONES,4
LOS LEONES,TOBALABA,4
TOBALABA,EL GOLF,4
EL GOLF,ALCANTARA,3
ALCANTARA,ESCUELA MILITAR,4
ESCUELA MILITAR,MANQUEHUE,4
MANQUEHUE,HERNANDO DE MAGALLANES,5
HERNANDO DE MAGALLANES,LOS DOMINICOS,4
LOS LIBERTADORES,CARDENAL CARO,3
CARDENAL CARO,VIVACETA,2
VIVACETA,CONCHALEI,2
CONCHALEI,PLAZA CHACABUCO,1
PLAZA CHACABUCO,HOSPITALES,1
HOSPITALES,PUENTE CAL Y CANTO,2
PUENTE CAL Y CANTO,PLAZA DE ARMAS,2
PLAZA DE ARMAS,UNIVERSIDAD DE CHILE,3
UNIVERSIDAD DE CHILE,PARQUE ALMAGRO,2
PARQUE ALMAGRO,MATTA,1
MATTA,IRARRAZAVAL,1
IRARRAZAVAL,MONSEÑOR EYZAGUIRRE,2
MONSEÑOR EYZAGUIRRE,ÑUÑOA,2
ÑUÑOA,CHILE-ESPAÑA,1
CHILE-ESPAÑA,VILLA FREI,2
VILLA FREI,PLAZA EGAÑA,2
PLAZA EGAÑA,FERNANDO CASTILLO VELASCO,2